Author Name,Rating,Review Text,Time Description,Store Name,Address,Phone Number,Website,Opening Hours
Dars Daring Guide,5,"Good collection of all men & women branded Levi's jeans and t shirts and other apparels.
I chose regular levis 505 jeans but bought from daraz outlet. The staff is cooperative. I hope they will give discounts also as offered on their daraz outlet.",4 months ago,Levis Store,"Fateh Tower، Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",(051) 4571743,N/A,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM"
linguist Pakistan,4,"The staff is polite but a bit misleading. One salesman told me my size (34) wasn't available on sale, so I had to pick a pair at full price (5,200). Later, another salesman said the same jeans(510 Skinny Jeans)  in a lighter color were on sale for 2,900*, so I bought those instead. They still tried to push the full-price pair on me.",3 months ago,Levis Store,"Fateh Tower، Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",(051) 4571743,N/A,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM"
Sam Shoaib,5,"Adam's Store is at the Chandni Chowk pindi, and Chandni Chowk Metro station locate here, the comercial market here, all.brands here the busy road, and amazing experience to visit here.",a year ago,Levis Store,"Fateh Tower، Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",(051) 4571743,N/A,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM"
Bahsal Mustafa,5,"It has Good staff which helps in choosing and provide what you need.
Affordable rates.
Safe for shopping in COVID-19. They won't allow you to enter without face mask.",4 years ago,Levis Store,"Fateh Tower، Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",(051) 4571743,N/A,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM"
Muhammad Umar Qazi,5,Best shopping place in commercial market.,8 months ago,Levis Store,"Fateh Tower، Commercial Market Rd, B-Block Block B Satellite Town, Rawalpindi, Punjab, Pakistan",(051) 4571743,N/A,"Monday: 11:00 AM – 10:30 PM, Tuesday: 11:00 AM – 10:30 PM, Wednesday: 11:00 AM – 10:30 PM, Thursday: 11:00 AM – 10:30 PM, Friday: 11:00 AM – 10:30 PM, Saturday: 11:00 AM – 10:30 PM, Sunday: 11:00 AM – 10:30 PM"
